country,passengers_total,freight_total_tonnes,mail_total_tonnes,route,month_year_dt
Uk,711,8.369,0.484,Melbourne-Manchester,1986-03-01
Philippines,2789,236.713,0.219,Melbourne-Manila,1986-03-01
Oman,59,38.2,0.0,Melbourne-Muscat,1986-03-01
Fiji,3460,117.137,1.012,Melbourne-Nadi,1986-03-01
Nauru,90,16.546,0.0,Melbourne-Nauru,1986-03-01
New Caledonia,153,11.216,0.021,Melbourne-Noumea,1986-03-01
Tahiti,451,95.076,0.0,Melbourne-Papeete,1986-03-01
Italy,2194,70.613,3.452,Melbourne-Rome,1986-03-01
Usa,1268,187.739,18.162,Melbourne-San Francisco,1986-03-01
Singapore,11990,982.759,4.376,Melbourne-Singapore,1986-03-01
Japan,720,97.917,5.499,Melbourne-Tokyo,1986-03-01
Canada,133,0.001,1.429,Melbourne-Vancouver,1986-03-01
New Zealand,2860,116.074,2.64,Melbourne-Wellington,1986-03-01
New Zealand,1681,11.001,0.7,Norfolk Island-Auckland,1986-03-01
Netherlands,32,0.0,0.0,Perth-Amsterdam,1986-03-01
Greece,4,0.0,0.0,Perth-Athens,1986-03-01
New Zealand,3645,61.92,0.0,Perth-Auckland,1986-03-01
Bahrain,54,35.415,0.097,Perth-Bahrain,1986-03-01
Thailand,1775,24.202,0.0,Perth-Bangkok,1986-03-01
Yugoslavia,151,0.0,0.045,Perth-Belgrade,1986-03-01
India,518,7.423,0.07,Perth-Bombay,1986-03-01
Indonesia,6106,19.097,0.091,Perth-Denpasar,1986-03-01
Germany,321,0.025,0.402,Perth-Frankfurt,1986-03-01
Zimbabwe,458,10.17,0.308,Perth-Harare,1986-03-01
Hong Kong,4541,227.56,0.1,Perth-Hong Kong,1986-03-01
Usa,47,0.0,0.0,Perth-Honolulu,1986-03-01
Indonesia,983,131.488,0.0,Perth-Jakarta,1986-03-01
South Africa,785,14.434,0.0,Perth-Johannesburg,1986-03-01
Malaysia,3399,270.826,0.348,Perth-Kuala Lumpur,1986-03-01
Uk,6049,23.059,9.283,Perth-London,1986-03-01
Usa,1,0.0,0.0,Perth-Los Angeles,1986-03-01
Uk,47,0.12,0.0,Perth-Manchester,1986-03-01
Mauritius,123,0.766,0.0,Perth-Mauritius,1986-03-01
Oman,11,0.0,0.0,Perth-Muscat,1986-03-01
Italy,221,1.56,0.407,Perth-Rome,1986-03-01
Usa,161,0.0,1.617,Perth-San Francisco,1986-03-01
Singapore,14781,1075.94,2.469,Perth-Singapore,1986-03-01
Japan,116,20.38,0.114,Perth-Tokyo,1986-03-01
Indonesia,325,0.0,0.0,Port Hedland-Denpasar,1986-03-01
Indonesia,10,0.0,0.0,Port Hedland-Jakarta,1986-03-01
United Arab Emirates,293,133.1,0.0,Sydney-Abu Dhabi,1986-03-01
Netherlands,1127,43.573,1.104,Sydney-Amsterdam,1986-03-01
Western Samoa,225,2.545,0.0,Sydney-Apia,1986-03-01
Greece,3236,42.857,1.534,Sydney-Athens,1986-03-01
New Zealand,51761,2156.183,46.131,Sydney-Auckland,1986-03-01
Bahrain,250,18.887,2.176,Sydney-Bahrain,1986-03-01
Thailand,7553,315.405,1.385,Sydney-Bangkok,1986-03-01
China,2165,61.211,0.132,Sydney-Beijing,1986-03-01
Yugoslavia,2388,78.504,1.803,Sydney-Belgrade,1986-03-01
India,1306,33.703,2.16,Sydney-Bombay,1986-03-01
New Zealand,16217,478.555,3.321,Sydney-Christchurch,1986-03-01
Sri Lanka,274,2.402,0.0,Sydney-Colombo,1986-03-01
Indonesia,6486,57.152,0.034,Sydney-Denpasar,1986-03-01
United Arab Emirates,208,118.642,0.0,Sydney-Dubai,1986-03-01
Germany,3084,243.805,14.59,Sydney-Frankfurt,1986-03-01
China,312,9.26,0.0,Sydney-Guangzhou,1986-03-01
Zimbabwe,851,16.81,0.876,Sydney-Harare,1986-03-01
Hong Kong,20630,1086.743,8.343,Sydney-Hong Kong,1986-03-01
Usa,12011,449.93,0.696,Sydney-Honolulu,1986-03-01
Usa,16,0.0,0.0,Sydney-Houston,1986-03-01
Indonesia,4780,326.399,0.986,Sydney-Jakarta,1986-03-01
South Africa,1795,44.499,0.0,Sydney-Johannesburg,1986-03-01
Malaysia,5579,323.99,2.452,Sydney-Kuala Lumpur,1986-03-01
Uk,12045,574.9,29.561,Sydney-London,1986-03-01
Usa,12477,1078.708,0.007,Sydney-Los Angeles,1986-03-01
Uk,1170,3.16,1.077,Sydney-Manchester,1986-03-01
Philippines,5011,246.149,1.38,Sydney-Manila,1986-03-01
Mauritius,266,8.728,0.0,Sydney-Mauritius,1986-03-01
Oman,334,22.6,0.0,Sydney-Muscat,1986-03-01
Fiji,12621,239.694,0.0,Sydney-Nadi,1986-03-01
Nauru,62,1.3,0.0,Sydney-Nauru,1986-03-01
New Caledonia,2896,230.722,0.877,Sydney-Noumea,1986-03-01
Tahiti,2190,147.399,1.357,Sydney-Papeete,1986-03-01
France,662,59.521,0.0,Sydney-Paris,1986-03-01
Papua New Guinea,3560,138.487,21.744,Sydney-Port Moresby,1986-03-01
Vanuatu,1297,22.414,0.522,Sydney-Port Vila,1986-03-01
Italy,2589,199.369,5.438,Sydney-Rome,1986-03-01
Usa,6652,498.413,25.897,Sydney-San Francisco,1986-03-01
Usa,2,0.0,0.0,Sydney-Seattle,1986-03-01
Singapore,25773,1465.048,12.1,Sydney-Singapore,1986-03-01
Japan,19664,1049.672,31.249,Sydney-Tokyo,1986-03-01
Canada,2303,129.832,1.535,Sydney-Vancouver,1986-03-01
New Zealand,9477,383.678,7.502,Sydney-Wellington,1986-03-01
New Zealand,726,14.557,0.0,Townsville-Auckland,1986-03-01
Bahrain,2,0.0,0.0,Townsville-Bahrain,1986-03-01
Thailand,12,0.0,0.0,Townsville-Bangkok,1986-03-01
Yugoslavia,3,0.0,0.0,Townsville-Belgrade,1986-03-01
India,1,0.0,0.0,Townsville-Bombay,1986-03-01
Germany,95,0.0,0.0,Townsville-Frankfurt,1986-03-01
Uk,221,0.0,0.0,Townsville-London,1986-03-01
Uk,23,0.0,0.0,Townsville-Manchester,1986-03-01
Italy,42,0.0,0.0,Townsville-Rome,1986-03-01
Singapore,565,1.859,0.0,Townsville-Singapore,1986-03-01
United Arab Emirates,1,0.0,0.0,Adelaide-Abu Dhabi,1986-04-01
Netherlands,12,0.0,0.0,Adelaide-Amsterdam,1986-04-01
Greece,144,0.22,0.058,Adelaide-Athens,1986-04-01
New Zealand,2037,66.993,1.186,Adelaide-Auckland,1986-04-01
Bahrain,27,1.088,0.022,Adelaide-Bahrain,1986-04-01
Thailand,4,0.0,0.0,Adelaide-Bangkok,1986-04-01
Yugoslavia,30,0.0,0.02,Adelaide-Belgrade,1986-04-01
Germany,184,0.59,0.369,Adelaide-Frankfurt,1986-04-01
Zimbabwe,0,0.0,0.009,Adelaide-Harare,1986-04-01
Usa,34,0.0,0.0,Adelaide-Honolulu,1986-04-01
Uk,2576,35.237,3.212,Adelaide-London,1986-04-01
Uk,144,0.0,0.0,Adelaide-Manchester,1986-04-01
Oman,6,0.0,0.0,Adelaide-Muscat,1986-04-01
Italy,205,0.25,0.089,Adelaide-Rome,1986-04-01
Usa,37,0.0,0.698,Adelaide-San Francisco,1986-04-01
Singapore,4641,306.066,0.478,Adelaide-Singapore,1986-04-01
Japan,25,11.541,0.136,Adelaide-Tokyo,1986-04-01
United Arab Emirates,14,0.0,0.0,Brisbane-Abu Dhabi,1986-04-01
Netherlands,34,0.0,0.063,Brisbane-Amsterdam,1986-04-01
Greece,49,0.0,0.053,Brisbane-Athens,1986-04-01
New Zealand,12369,300.291,7.937,Brisbane-Auckland,1986-04-01
Bahrain,41,0.17,0.0,Brisbane-Bahrain,1986-04-01
Thailand,535,18.334,0.0,Brisbane-Bangkok,1986-04-01
Yugoslavia,6,0.0,0.0,Brisbane-Belgrade,1986-04-01
India,3,0.0,0.0,Brisbane-Bombay,1986-04-01
New Zealand,5108,114.912,0.288,Brisbane-Christchurch,1986-04-01
Germany,355,0.0,0.136,Brisbane-Frankfurt,1986-04-01
Hong Kong,2833,41.164,0.271,Brisbane-Hong Kong,1986-04-01
Solomon Islands,1064,12.13,0.0,Brisbane-Honiara,1986-04-01
Usa,434,5.527,0.0,Brisbane-Honolulu,1986-04-01
Malaysia,2,0.0,0.0,Brisbane-Kuala Lumpur,1986-04-01
Uk,3067,12.323,3.749,Brisbane-London,1986-04-01
Usa,410,3.859,0.0,Brisbane-Los Angeles,1986-04-01
Uk,136,0.0,0.0,Brisbane-Manchester,1986-04-01
Philippines,1421,44.812,0.089,Brisbane-Manila,1986-04-01
Oman,5,0.0,0.0,Brisbane-Muscat,1986-04-01
Fiji,1099,9.966,0.0,Brisbane-Nadi,1986-04-01
New Caledonia,295,3.286,0.0,Brisbane-Noumea,1986-04-01
Papua New Guinea,2936,75.901,3.193,Brisbane-Port Moresby,1986-04-01
Vanuatu,432,7.63,0.0,Brisbane-Port Vila,1986-04-01
Italy,72,0.02,0.05,Brisbane-Rome,1986-04-01
Usa,406,0.442,1.446,Brisbane-San Francisco,1986-04-01
Singapore,5417,287.047,0.46,Brisbane-Singapore,1986-04-01
Fiji,114,0.713,0.0,Brisbane-Suva,1986-04-01
Japan,1446,20.954,1.091,Brisbane-Tokyo,1986-04-01
Canada,274,0.348,0.353,Brisbane-Vancouver,1986-04-01
New Zealand,1982,39.819,0.633,Brisbane-Wellington,1986-04-01
Usa,856,1.095,0.0,Cairns-Honolulu,1986-04-01
Usa,769,0.241,0.0,Cairns-Los Angeles,1986-04-01
Papua New Guinea,1973,48.314,0.0,Cairns-Port Moresby,1986-04-01
Usa,1003,0.0,0.0,Cairns-San Francisco,1986-04-01
Japan,204,1.774,0.0,Cairns-Tokyo,1986-04-01
Canada,436,0.0,0.0,Cairns-Vancouver,1986-04-01
Greece,25,0.0,0.0,Darwin-Athens,1986-04-01
New Zealand,0,0.048,0.0,Darwin-Auckland,1986-04-01
Bahrain,7,0.0,0.0,Darwin-Bahrain,1986-04-01
Brunei,343,13.832,0.0,Darwin-Bandar Seri Begawan,1986-04-01
Thailand,5,0.0,0.0,Darwin-Bangkok,1986-04-01
Yugoslavia,7,0.0,0.0,Darwin-Belgrade,1986-04-01
Indonesia,1261,1.169,0.0,Darwin-Denpasar,1986-04-01
Germany,21,0.0,0.0,Darwin-Frankfurt,1986-04-01
Indonesia,131,0.292,0.0,Darwin-Jakarta,1986-04-01
Indonesia,21,0.0,0.0,Darwin-Kupang,1986-04-01
Uk,180,0.04,0.137,Darwin-London,1986-04-01
Uk,3,0.0,0.0,Darwin-Manchester,1986-04-01
Italy,51,0.0,0.0,Darwin-Rome,1986-04-01
Singapore,2120,7.779,0.071,Darwin-Singapore,1986-04-01
New Zealand,524,5.148,0.039,Hobart-Auckland,1986-04-01
New Zealand,503,2.155,0.0,Hobart-Christchurch,1986-04-01
United Arab Emirates,54,96.9,0.0,Melbourne-Abu Dhabi,1986-04-01
Netherlands,928,24.163,0.693,Melbourne-Amsterdam,1986-04-01
Greece,2859,17.809,4.166,Melbourne-Athens,1986-04-01
New Zealand,13314,642.98,6.634,Melbourne-Auckland,1986-04-01
Bahrain,114,67.342,1.469,Melbourne-Bahrain,1986-04-01
Thailand,3890,267.883,0.171,Melbourne-Bangkok,1986-04-01
China,310,14.674,0.0,Melbourne-Beijing,1986-04-01
Yugoslavia,2068,47.328,0.286,Melbourne-Belgrade,1986-04-01
India,258,10.538,0.627,Melbourne-Bombay,1986-04-01
New Zealand,8061,152.991,3.153,Melbourne-Christchurch,1986-04-01
Sri Lanka,217,1.629,0.0,Melbourne-Colombo,1986-04-01
Indonesia,4316,8.319,0.0,Melbourne-Denpasar,1986-04-01
United Arab Emirates,38,205.73,0.0,Melbourne-Dubai,1986-04-01
Germany,1709,481.103,14.957,Melbourne-Frankfurt,1986-04-01
Hong Kong,8857,591.518,6.49,Melbourne-Hong Kong,1986-04-01
Usa,3526,127.829,0.195,Melbourne-Honolulu,1986-04-01
Indonesia,1259,231.702,0.414,Melbourne-Jakarta,1986-04-01
Malaysia,3374,239.078,0.779,Melbourne-Kuala Lumpur,1986-04-01
Cyprus,32,0.0,0.0,Melbourne-Larnaca,1986-04-01
Uk,5845,158.026,18.957,Melbourne-London,1986-04-01
Usa,4087,411.101,0.0,Melbourne-Los Angeles,1986-04-01
Uk,525,0.315,1.189,Melbourne-Manchester,1986-04-01
Philippines,2902,191.057,0.154,Melbourne-Manila,1986-04-01
Oman,105,41.2,0.0,Melbourne-Muscat,1986-04-01
Fiji,3309,91.922,1.322,Melbourne-Nadi,1986-04-01
Nauru,133,14.922,0.0,Melbourne-Nauru,1986-04-01
New Caledonia,154,11.263,0.062,Melbourne-Noumea,1986-04-01
Tahiti,572,152.6,0.0,Melbourne-Papeete,1986-04-01
Italy,2225,86.196,2.373,Melbourne-Rome,1986-04-01
Usa,1847,197.54,19.389,Melbourne-San Francisco,1986-04-01
Singapore,13301,1066.106,4.952,Melbourne-Singapore,1986-04-01
Japan,725,123.722,5.022,Melbourne-Tokyo,1986-04-01
Canada,233,11.032,1.486,Melbourne-Vancouver,1986-04-01
New Zealand,3268,74.789,1.794,Melbourne-Wellington,1986-04-01
New Zealand,1613,8.777,0.539,Norfolk Island-Auckland,1986-04-01
United Arab Emirates,9,0.0,0.0,Perth-Abu Dhabi,1986-04-01
Netherlands,13,0.0,0.0,Perth-Amsterdam,1986-04-01
Greece,78,0.015,0.029,Perth-Athens,1986-04-01
New Zealand,3444,89.729,0.0,Perth-Auckland,1986-04-01
Bahrain,49,18.595,0.114,Perth-Bahrain,1986-04-01
Thailand,1497,30.091,0.0,Perth-Bangkok,1986-04-01
Yugoslavia,114,0.438,0.038,Perth-Belgrade,1986-04-01
India,90,1.2,0.0,Perth-Bombay,1986-04-01
Indonesia,4601,12.27,0.071,Perth-Denpasar,1986-04-01
Germany,228,0.146,0.198,Perth-Frankfurt,1986-04-01
Zimbabwe,499,6.356,0.303,Perth-Harare,1986-04-01
Hong Kong,3879,102.22,0.023,Perth-Hong Kong,1986-04-01
Usa,42,0.0,0.001,Perth-Honolulu,1986-04-01
Indonesia,1156,66.09,0.0,Perth-Jakarta,1986-04-01
South Africa,666,18.153,0.0,Perth-Johannesburg,1986-04-01
Malaysia,3831,239.371,2.187,Perth-Kuala Lumpur,1986-04-01
Cyprus,3,0.0,0.0,Perth-Larnaca,1986-04-01
Uk,5387,43.487,6.351,Perth-London,1986-04-01
Usa,3,0.0,0.0,Perth-Los Angeles,1986-04-01
Uk,164,0.012,0.0,Perth-Manchester,1986-04-01
Mauritius,99,2.483,0.0,Perth-Mauritius,1986-04-01
Oman,26,4.0,0.0,Perth-Muscat,1986-04-01
Italy,329,0.038,0.247,Perth-Rome,1986-04-01
Usa,131,0.0,2.74,Perth-San Francisco,1986-04-01
Singapore,14189,966.468,2.89,Perth-Singapore,1986-04-01
Japan,478,56.867,0.47,Perth-Tokyo,1986-04-01
Indonesia,217,0.0,0.0,Port Hedland-Denpasar,1986-04-01
Indonesia,4,0.0,0.0,Port Hedland-Jakarta,1986-04-01
United Arab Emirates,364,117.5,0.0,Sydney-Abu Dhabi,1986-04-01
Netherlands,980,19.631,0.756,Sydney-Amsterdam,1986-04-01
Western Samoa,451,4.633,0.0,Sydney-Apia,1986-04-01
Greece,2963,39.643,3.081,Sydney-Athens,1986-04-01
New Zealand,49976,1738.333,51.007,Sydney-Auckland,1986-04-01
Bahrain,273,35.324,2.013,Sydney-Bahrain,1986-04-01
Thailand,5223,211.677,0.792,Sydney-Bangkok,1986-04-01
China,881,26.46,0.004,Sydney-Beijing,1986-04-01
Yugoslavia,2168,74.388,1.357,Sydney-Belgrade,1986-04-01
India,1522,89.659,1.169,Sydney-Bombay,1986-04-01
New Zealand,14846,275.727,2.912,Sydney-Christchurch,1986-04-01
Sri Lanka,201,1.502,0.0,Sydney-Colombo,1986-04-01
Indonesia,5521,67.975,0.028,Sydney-Denpasar,1986-04-01
United Arab Emirates,170,161.338,0.0,Sydney-Dubai,1986-04-01
Germany,2877,284.941,12.339,Sydney-Frankfurt,1986-04-01
Zimbabwe,831,21.977,0.684,Sydney-Harare,1986-04-01
Hong Kong,19883,826.183,6.699,Sydney-Hong Kong,1986-04-01
Usa,12562,275.47,0.677,Sydney-Honolulu,1986-04-01
Usa,3,0.0,0.0,Sydney-Houston,1986-04-01
Indonesia,4374,235.184,0.859,Sydney-Jakarta,1986-04-01
South Africa,1688,41.969,0.0,Sydney-Johannesburg,1986-04-01
Malaysia,5616,268.304,2.544,Sydney-Kuala Lumpur,1986-04-01
Cyprus,41,0.0,0.0,Sydney-Larnaca,1986-04-01
Uk,11047,523.958,26.224,Sydney-London,1986-04-01
Usa,13310,838.252,0.0,Sydney-Los Angeles,1986-04-01
Uk,756,2.955,1.134,Sydney-Manchester,1986-04-01
Philippines,5191,237.398,1.186,Sydney-Manila,1986-04-01
Mauritius,256,10.974,0.0,Sydney-Mauritius,1986-04-01
Oman,151,28.6,0.0,Sydney-Muscat,1986-04-01
Fiji,11433,214.24,0.0,Sydney-Nadi,1986-04-01
Nauru,220,17.274,0.0,Sydney-Nauru,1986-04-01
New Caledonia,2766,112.76,0.734,Sydney-Noumea,1986-04-01
Tahiti,2591,121.723,1.516,Sydney-Papeete,1986-04-01
France,837,54.536,0.0,Sydney-Paris,1986-04-01
Papua New Guinea,3299,108.529,19.468,Sydney-Port Moresby,1986-04-01
Vanuatu,602,7.041,0.0,Sydney-Port Vila,1986-04-01
Italy,2305,152.106,3.835,Sydney-Rome,1986-04-01
Usa,7344,298.071,27.141,Sydney-San Francisco,1986-04-01
Singapore,25264,1409.501,10.979,Sydney-Singapore,1986-04-01
Japan,18621,867.064,29.485,Sydney-Tokyo,1986-04-01
Canada,2086,83.261,1.092,Sydney-Vancouver,1986-04-01
New Zealand,8870,315.839,8.378,Sydney-Wellington,1986-04-01
Greece,1,0.0,0.0,Townsville-Athens,1986-04-01
New Zealand,718,11.391,0.0,Townsville-Auckland,1986-04-01
Bahrain,7,0.0,0.0,Townsville-Bahrain,1986-04-01
Thailand,6,0.0,0.0,Townsville-Bangkok,1986-04-01
Yugoslavia,3,0.0,0.0,Townsville-Belgrade,1986-04-01
Germany,22,0.0,0.0,Townsville-Frankfurt,1986-04-01
Uk,201,0.0,0.0,Townsville-London,1986-04-01
Uk,5,0.0,0.0,Townsville-Manchester,1986-04-01
Italy,61,0.007,0.0,Townsville-Rome,1986-04-01
Singapore,752,1.979,0.0,Townsville-Singapore,1986-04-01
United Arab Emirates,9,0.9,0.0,Adelaide-Abu Dhabi,1986-05-01
Netherlands,12,0.0,0.0,Adelaide-Amsterdam,1986-05-01
Greece,165,0.0,0.02,Adelaide-Athens,1986-05-01
New Zealand,2769,98.394,1.714,Adelaide-Auckland,1986-05-01
Bahrain,13,1.126,0.018,Adelaide-Bahrain,1986-05-01
Thailand,14,0.0,0.0,Adelaide-Bangkok,1986-05-01
Yugoslavia,56,0.0,0.007,Adelaide-Belgrade,1986-05-01
Germany,144,0.0,0.419,Adelaide-Frankfurt,1986-05-01
Usa,112,0.0,0.0,Adelaide-Honolulu,1986-05-01
Uk,2336,34.224,3.071,Adelaide-London,1986-05-01
Usa,27,0.0,0.0,Adelaide-Los Angeles,1986-05-01
Uk,118,0.0,0.0,Adelaide-Manchester,1986-05-01
Oman,13,0.0,0.0,Adelaide-Muscat,1986-05-01
Italy,236,13.113,0.014,Adelaide-Rome,1986-05-01
Usa,71,0.0,0.499,Adelaide-San Francisco,1986-05-01
Singapore,6168,236.558,0.348,Adelaide-Singapore,1986-05-01
Japan,38,2.663,0.153,Adelaide-Tokyo,1986-05-01
United Arab Emirates,9,0.0,0.0,Brisbane-Abu Dhabi,1986-05-01
Netherlands,33,0.0,0.066,Brisbane-Amsterdam,1986-05-01
Greece,55,0.0,0.0,Brisbane-Athens,1986-05-01
New Zealand,13443,267.522,9.509,Brisbane-Auckland,1986-05-01
Bahrain,17,0.833,0.0,Brisbane-Bahrain,1986-05-01
Thailand,847,27.997,0.0,Brisbane-Bangkok,1986-05-01
Yugoslavia,10,0.0,0.0,Brisbane-Belgrade,1986-05-01
New Zealand,4723,110.196,0.233,Brisbane-Christchurch,1986-05-01
Germany,255,0.445,0.258,Brisbane-Frankfurt,1986-05-01
Hong Kong,2402,74.249,0.023,Brisbane-Hong Kong,1986-05-01
Solomon Islands,828,11.044,0.0,Brisbane-Honiara,1986-05-01
Usa,502,17.092,0.004,Brisbane-Honolulu,1986-05-01
Malaysia,1,0.0,0.0,Brisbane-Kuala Lumpur,1986-05-01
Uk,2903,13.108,3.972,Brisbane-London,1986-05-01
Usa,438,3.64,0.0,Brisbane-Los Angeles,1986-05-01
Uk,135,0.0,0.0,Brisbane-Manchester,1986-05-01
Philippines,1566,27.917,0.099,Brisbane-Manila,1986-05-01
Oman,5,0.0,0.0,Brisbane-Muscat,1986-05-01
Fiji,1360,8.464,0.0,Brisbane-Nadi,1986-05-01
New Caledonia,383,2.158,0.0,Brisbane-Noumea,1986-05-01
Papua New Guinea,2699,89.297,4.093,Brisbane-Port Moresby,1986-05-01
Vanuatu,615,6.477,0.0,Brisbane-Port Vila,1986-05-01
Italy,116,0.055,0.0,Brisbane-Rome,1986-05-01
Usa,614,1.746,1.892,Brisbane-San Francisco,1986-05-01
Singapore,5132,377.811,0.495,Brisbane-Singapore,1986-05-01
Fiji,90,0.618,0.0,Brisbane-Suva,1986-05-01
Japan,1340,23.739,1.059,Brisbane-Tokyo,1986-05-01
Canada,397,0.139,0.481,Brisbane-Vancouver,1986-05-01
New Zealand,2812,44.401,1.216,Brisbane-Wellington,1986-05-01
Usa,735,0.584,0.0,Cairns-Honolulu,1986-05-01
Usa,829,0.002,0.0,Cairns-Los Angeles,1986-05-01
Papua New Guinea,1563,50.825,0.0,Cairns-Port Moresby,1986-05-01
Usa,685,0.018,0.0,Cairns-San Francisco,1986-05-01
Japan,80,0.718,0.0,Cairns-Tokyo,1986-05-01
Canada,256,0.028,0.0,Cairns-Vancouver,1986-05-01
Greece,44,0.0,0.0,Darwin-Athens,1986-05-01
Brunei,361,18.335,0.0,Darwin-Bandar Seri Begawan,1986-05-01
Thailand,7,0.008,0.0,Darwin-Bangkok,1986-05-01
Yugoslavia,2,0.0,0.0,Darwin-Belgrade,1986-05-01
Indonesia,1037,1.093,0.0,Darwin-Denpasar,1986-05-01
Germany,32,0.0,0.0,Darwin-Frankfurt,1986-05-01
Indonesia,107,0.066,0.0,Darwin-Jakarta,1986-05-01
Indonesia,30,0.0,0.0,Darwin-Kupang,1986-05-01
Uk,211,0.068,0.132,Darwin-London,1986-05-01
Uk,7,0.0,0.0,Darwin-Manchester,1986-05-01
Italy,23,0.0,0.0,Darwin-Rome,1986-05-01
Singapore,1179,3.821,0.083,Darwin-Singapore,1986-05-01
New Zealand,405,19.518,0.035,Hobart-Auckland,1986-05-01
New Zealand,504,5.23,0.0,Hobart-Christchurch,1986-05-01
United Arab Emirates,63,81.6,0.0,Melbourne-Abu Dhabi,1986-05-01
Netherlands,1189,29.349,0.766,Melbourne-Amsterdam,1986-05-01
Greece,3231,12.142,2.402,Melbourne-Athens,1986-05-01
New Zealand,13420,631.874,7.884,Melbourne-Auckland,1986-05-01
Bahrain,124,91.254,1.425,Melbourne-Bahrain,1986-05-01
Thailand,4493,248.531,0.157,Melbourne-Bangkok,1986-05-01
China,466,5.044,0.0,Melbourne-Beijing,1986-05-01
Yugoslavia,2063,38.587,0.151,Melbourne-Belgrade,1986-05-01
India,256,9.326,0.663,Melbourne-Bombay,1986-05-01
New Zealand,7132,232.79,2.802,Melbourne-Christchurch,1986-05-01
Sri Lanka,304,6.092,0.0,Melbourne-Colombo,1986-05-01
Indonesia,7127,6.226,0.0,Melbourne-Denpasar,1986-05-01
Usa,0,0.054,0.0,Melbourne-Denver,1986-05-01
United Arab Emirates,32,273.073,0.0,Melbourne-Dubai,1986-05-01
Germany,1872,326.138,13.706,Melbourne-Frankfurt,1986-05-01
Hong Kong,11570,563.934,5.752,Melbourne-Hong Kong,1986-05-01
Usa,4112,160.08,0.164,Melbourne-Honolulu,1986-05-01
Indonesia,849,214.297,0.359,Melbourne-Jakarta,1986-05-01
Malaysia,4469,207.22,5.404,Melbourne-Kuala Lumpur,1986-05-01
Cyprus,15,0.0,0.0,Melbourne-Larnaca,1986-05-01
Uk,5993,183.585,18.338,Melbourne-London,1986-05-01
Usa,4102,422.554,0.0,Melbourne-Los Angeles,1986-05-01
Uk,442,0.352,2.248,Melbourne-Manchester,1986-05-01
Philippines,3049,176.43,0.146,Melbourne-Manila,1986-05-01
Oman,64,34.6,0.0,Melbourne-Muscat,1986-05-01
Fiji,4658,107.917,1.21,Melbourne-Nadi,1986-05-01
Nauru,208,22.868,0.0,Melbourne-Nauru,1986-05-01
New Caledonia,281,12.646,0.056,Melbourne-Noumea,1986-05-01
Tahiti,436,125.682,0.0,Melbourne-Papeete,1986-05-01
Italy,2648,81.233,2.592,Melbourne-Rome,1986-05-01
Usa,1567,158.615,17.959,Melbourne-San Francisco,1986-05-01
Singapore,14445,1008.893,4.261,Melbourne-Singapore,1986-05-01
Japan,928,87.481,6.306,Melbourne-Tokyo,1986-05-01
Canada,283,7.437,1.242,Melbourne-Vancouver,1986-05-01
New Zealand,2914,94.916,1.798,Melbourne-Wellington,1986-05-01
Yugoslavia,55,0.595,0.0,Melbourne-Zagreb,1986-05-01
New Zealand,1716,12.627,0.699,Norfolk Island-Auckland,1986-05-01
United Arab Emirates,6,0.0,0.0,Perth-Abu Dhabi,1986-05-01
Netherlands,24,0.0,0.0,Perth-Amsterdam,1986-05-01
Greece,130,0.0,0.0,Perth-Athens,1986-05-01
New Zealand,3718,89.77,0.0,Perth-Auckland,1986-05-01
Bahrain,39,23.481,0.098,Perth-Bahrain,1986-05-01
Thailand,1262,8.56,0.0,Perth-Bangkok,1986-05-01
Yugoslavia,149,0.0,0.026,Perth-Belgrade,1986-05-01
India,98,5.2,0.0,Perth-Bombay,1986-05-01
Indonesia,4676,30.117,0.067,Perth-Denpasar,1986-05-01
Germany,200,0.014,0.246,Perth-Frankfurt,1986-05-01
Zimbabwe,756,17.761,0.354,Perth-Harare,1986-05-01
Hong Kong,4219,107.107,0.018,Perth-Hong Kong,1986-05-01
Usa,66,0.282,0.0,Perth-Honolulu,1986-05-01
Indonesia,872,76.514,0.0,Perth-Jakarta,1986-05-01
South Africa,676,11.34,0.0,Perth-Johannesburg,1986-05-01
Malaysia,2656,265.018,1.135,Perth-Kuala Lumpur,1986-05-01
Cyprus,3,0.0,0.0,Perth-Larnaca,1986-05-01
Uk,4572,38.445,6.517,Perth-London,1986-05-01
Usa,20,0.0,0.0,Perth-Los Angeles,1986-05-01
Uk,167,0.0,0.0,Perth-Manchester,1986-05-01
Mauritius,116,0.56,0.0,Perth-Mauritius,1986-05-01
Oman,4,1.0,0.0,Perth-Muscat,1986-05-01
Italy,336,1.826,0.007,Perth-Rome,1986-05-01
Usa,122,0.0,2.807,Perth-San Francisco,1986-05-01
Singapore,12100,1018.527,3.334,Perth-Singapore,1986-05-01
Japan,278,45.1,0.481,Perth-Tokyo,1986-05-01
Yugoslavia,1,0.0,0.0,Perth-Zagreb,1986-05-01
Indonesia,251,0.0,0.0,Port Hedland-Denpasar,1986-05-01
Indonesia,11,0.0,0.0,Port Hedland-Jakarta,1986-05-01
United Arab Emirates,319,134.4,0.0,Sydney-Abu Dhabi,1986-05-01
Netherlands,1123,48.194,0.82,Sydney-Amsterdam,1986-05-01
Western Samoa,710,5.33,0.0,Sydney-Apia,1986-05-01
Greece,3482,33.7,2.081,Sydney-Athens,1986-05-01
New Zealand,50216,2092.879,55.741,Sydney-Auckland,1986-05-01
